education,language,age_category,income_category,gender,province,health,citizenship,born_in_canada,marital_status,owns_house
NA,English only,55-64,"Less than $25,000",Female,British Columbia,Good/Very Good,Yes,No,Married,Owns a residence
High School,Both English and French,55-64,"$50,000 to $74,999",Female,Ontario,Poor/Fair,Yes,Yes,Married,Owns a residence
High School,English only,55-64,"$50,000 to $74,999",Male,Ontario,Good/Very Good,Yes,Yes,Married,Owns a residence
NA,English only,35-44,"$75,000 to $99,999",Male,Ontario,NA,No,No,Married,Owns a residence
College/Trade,Both English and French,55-64,"Less than $25,000",Male,Quebec,Excellent,Yes,No,Married,Owns a residence
High School,English only,55-64,"$25,000 to $49,999",Male,Ontario,NA,Yes,Yes,Living with a partner,Owns a residence
High School,English only,75-84,"$25,000 to $49,999",Female,Ontario,NA,Yes,No,Widowed,No residence
Postgrad,English only,NA,"$50,000 to $74,999",Female,Prince Edward Island,NA,Yes,Yes,Separated,Owns a residence
College/Trade,Both English and French,35-44,"$50,000 to $74,999",Female,Newfoundland and Labrador,Excellent,Yes,Yes,Separated,No residence
NA,English only,45-54,"$50,000 to $74,999",Female,British Columbia,Good/Very Good,Yes,Yes,Never Married,No residence
Postgrad,English only,35-44,"$50,000 to $74,999",Male,Ontario,NA,Yes,No,Married,Owns a residence
NA,English only,25-34,"$50,000 to $74,999",Male,Nova Scotia,NA,Yes,Yes,Married,Owns a residence
No degree/diploma,English only,45-54,"$100,000 to $ 124,999",Male,Newfoundland and Labrador,Excellent,Yes,Yes,Married,Owns a residence
High School,English only,75-84,"$50,000 to $74,999",Male,Ontario,Poor/Fair,Yes,No,Married,Owns a residence
NA,English only,25-34,"$25,000 to $49,999",Female,Newfoundland and Labrador,NA,Yes,Yes,Never Married,No residence
NA,English only,15-24,"Less than $25,000",Male,Ontario,Excellent,Yes,Yes,Never Married,Owns a residence
College/Trade,English only,55-64,"$25,000 to $49,999",Male,British Columbia,Good/Very Good,Yes,Yes,Married,Owns a residence
College/Trade,English only,55-64,"$50,000 to $74,999",Female,Saskatchewan,NA,Yes,Yes,Widowed,Owns a residence
High School,Both English and French,75-84,"Less than $25,000",Female,Nova Scotia,Poor/Fair,Yes,Yes,Widowed,Owns a residence
College/Trade,Both English and French,35-44,"$25,000 to $49,999",Female,Quebec,NA,Yes,Yes,Married,Owns a residence
College/Trade,English only,35-44,"$50,000 to $74,999",Male,Prince Edward Island,NA,Yes,Yes,Divorced,No residence
No degree/diploma,English only,65-74,"$25,000 to $49,999",Female,Nova Scotia,NA,Yes,Yes,Married,Owns a residence
NA,Both English and French,25-34,"$50,000 to $74,999",Male,New Brunswick,Good/Very Good,Yes,Yes,Never Married,Owns a residence
College/Trade,English only,25-34,"Less than $25,000",Female,Nova Scotia,Poor/Fair,Yes,Yes,Never Married,No residence
NA,Both English and French,45-54,"$50,000 to $74,999",Female,Ontario,Excellent,Yes,Yes,Married,Owns a residence
No degree/diploma,English only,45-54,"$25,000 to $49,999",Female,Saskatchewan,Excellent,Yes,Yes,Divorced,Owns a residence
No degree/diploma,English only,75-84,"Less than $25,000",Male,Manitoba,NA,Yes,Yes,Widowed,Owns a residence
No degree/diploma,English only,NA,"$50,000 to $74,999",Female,Nova Scotia,Good/Very Good,Yes,Yes,Married,Owns a residence
College/Trade,English only,25-34,"$25,000 to $49,999",Male,British Columbia,NA,Yes,Yes,Married,No residence
No degree/diploma,English only,55-64,"$25,000 to $49,999",Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Owns a residence
College/Trade,English only,15-24,"Less than $25,000",Male,Ontario,NA,Yes,Yes,Never Married,Owns a residence
High School,French only,35-44,"$50,000 to $74,999",Male,Quebec,Good/Very Good,Yes,Yes,Married,Owns a residence
NA,Both English and French,45-54,"$75,000 to $99,999",Female,Ontario,NA,Yes,Yes,Married,Owns a residence
Postgrad,English only,35-44,"$125,000 and more",Male,Ontario,Good/Very Good,Yes,No,Married,Owns a residence
High School,English only,15-24,"Less than $25,000",Male,Ontario,Good/Very Good,Yes,Yes,Never Married,Owns a residence
College/Trade,English only,55-64,"$50,000 to $74,999",Female,British Columbia,NA,Yes,No,Divorced,Owns a residence
College/Trade,English only,NA,"$25,000 to $49,999",Male,Ontario,Excellent,Yes,Yes,Married,No residence
NA,French only,55-64,"$25,000 to $49,999",Female,Quebec,Excellent,Yes,Yes,Never Married,Owns a residence
NA,English only,25-34,"$50,000 to $74,999",Female,Alberta,Excellent,Yes,Yes,Married,Owns a residence
College/Trade,English only,NA,"Less than $25,000",Male,British Columbia,Poor/Fair,Yes,Yes,Divorced,No residence
NA,English only,65-74,"$50,000 to $74,999",Male,New Brunswick,NA,Yes,Yes,Married,Owns a residence
NA,NA,75-84,"$25,000 to $49,999",Male,Ontario,NA,No,NA,Widowed,NA
College/Trade,English only,25-34,"$25,000 to $49,999",Male,Saskatchewan,Poor/Fair,Yes,Yes,Never Married,No residence
Postgrad,English only,45-54,"$25,000 to $49,999",Female,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Owns a residence
College/Trade,English only,45-54,"$50,000 to $74,999",Female,British Columbia,NA,Yes,Yes,Married,Owns a residence
NA,English only,45-54,"$75,000 to $99,999",Female,Prince Edward Island,NA,Yes,Yes,Living with a partner,Owns a residence
Postgrad,English only,35-44,"$125,000 and more",Female,Ontario,Excellent,Yes,No,Divorced,Owns a residence
NA,English only,65-74,"$25,000 to $49,999",Female,Ontario,Excellent,Yes,Yes,Married,Owns a residence
High School,English only,55-64,"Less than $25,000",Female,Nova Scotia,Good/Very Good,Yes,Yes,Living with a partner,Owns a residence
High School,English only,65-74,"$25,000 to $49,999",Female,New Brunswick,NA,Yes,Yes,Married,Owns a residence
NA,Both English and French,65-74,"Less than $25,000",Female,Ontario,Excellent,Yes,Yes,Married,Owns a residence
Postgrad,English only,65-74,"Less than $25,000",Male,Ontario,Excellent,Yes,No,Never Married,Owns a residence
College/Trade,English only,75-84,"$50,000 to $74,999",Male,Ontario,Poor/Fair,Yes,No,Married,Owns a residence
College/Trade,English only,55-64,"$75,000 to $99,999",Female,Ontario,Poor/Fair,Yes,Yes,Married,Owns a residence
No degree/diploma,English only,65-74,"Less than $25,000",Female,Alberta,Poor/Fair,Yes,Yes,Widowed,Owns a residence
College/Trade,Both English and French,35-44,"$50,000 to $74,999",Female,New Brunswick,NA,Yes,Yes,Married,Owns a residence
High School,English only,65-74,"$100,000 to $ 124,999",Male,Ontario,NA,Yes,Yes,Married,Owns a residence
NA,English only,35-44,"$25,000 to $49,999",Male,Nova Scotia,NA,Yes,Yes,Separated,Owns a residence
High School,English only,35-44,"Less than $25,000",Female,Saskatchewan,Excellent,Yes,Yes,Married,Owns a residence
No degree/diploma,English only,75-84,"$25,000 to $49,999",Female,Manitoba,Good/Very Good,Yes,Yes,Widowed,Owns a residence
High School,English only,55-64,"Less than $25,000",Female,Nova Scotia,Excellent,Yes,Yes,Married,Owns a residence
High School,Both English and French,75-84,"Less than $25,000",Female,Quebec,Excellent,Yes,Yes,Divorced,No residence
High School,English only,NA,"$25,000 to $49,999",Female,Ontario,NA,Yes,Yes,Never Married,No residence
High School,French only,55-64,"$25,000 to $49,999",Female,Quebec,NA,Yes,Yes,Married,Owns a residence
High School,Both English and French,15-24,"$25,000 to $49,999",Female,Quebec,Good/Very Good,Yes,Yes,Never Married,Owns a residence
No degree/diploma,English only,55-64,"$25,000 to $49,999",Female,Alberta,Good/Very Good,Yes,Yes,Married,Owns a residence
High School,English only,45-54,"$25,000 to $49,999",Female,British Columbia,Good/Very Good,Yes,No,Married,Owns a residence
Postgrad,French only,55-64,"$75,000 to $99,999",Male,Quebec,NA,Yes,Yes,Divorced,Owns a residence
No degree/diploma,English only,75-84,"$25,000 to $49,999",Female,Ontario,Good/Very Good,Yes,No,Widowed,Owns a residence
College/Trade,English only,25-34,"$25,000 to $49,999",Female,Saskatchewan,Excellent,Yes,Yes,Married,Owns a residence
High School,English only,35-44,"Less than $25,000",Female,Newfoundland and Labrador,Excellent,Yes,Yes,Married,Owns a residence
No degree/diploma,English only,65-74,"$25,000 to $49,999",Male,Ontario,NA,Yes,Yes,Married,Owns a residence
College/Trade,English only,65-74,"$25,000 to $49,999",Female,Manitoba,Good/Very Good,Yes,Yes,Widowed,Owns a residence
College/Trade,Both English and French,55-64,"Less than $25,000",Female,Quebec,Excellent,Yes,Yes,Married,Owns a residence
NA,English only,45-54,"$125,000 and more",Male,Nova Scotia,Good/Very Good,Yes,Yes,Divorced,Owns a residence
NA,English only,45-54,"Less than $25,000",Male,Ontario,Good/Very Good,Yes,No,Married,Owns a residence
NA,English only,65-74,"$125,000 and more",Male,Ontario,Excellent,Yes,No,Married,Owns a residence
High School,English only,45-54,"$50,000 to $74,999",Male,British Columbia,Good/Very Good,Yes,Yes,Living with a partner,Owns a residence
High School,English only,NA,"$50,000 to $74,999",Male,Nova Scotia,NA,Yes,Yes,Divorced,Owns a residence
College/Trade,English only,45-54,"$50,000 to $74,999",Female,British Columbia,Excellent,Yes,Yes,Married,No residence
No degree/diploma,French only,35-44,"$50,000 to $74,999",Male,Quebec,Good/Very Good,Yes,Yes,Separated,Owns a residence
College/Trade,Both English and French,45-54,"$100,000 to $ 124,999",Male,Ontario,NA,Yes,Yes,Living with a partner,Owns a residence
High School,Both English and French,65-74,"Less than $25,000",Female,Prince Edward Island,NA,Yes,Yes,Married,Owns a residence
NA,English only,35-44,"$50,000 to $74,999",Female,Alberta,NA,Yes,Yes,Never Married,Owns a residence
College/Trade,English only,55-64,"$100,000 to $ 124,999",Female,Alberta,Good/Very Good,Yes,Yes,Married,Owns a residence
High School,English only,35-44,"$25,000 to $49,999",Male,Ontario,Good/Very Good,Yes,Yes,Married,No residence
No degree/diploma,Both English and French,35-44,"$75,000 to $99,999",Male,Quebec,Excellent,Yes,Yes,Living with a partner,Owns a residence
College/Trade,English only,25-34,"$125,000 and more",Male,Saskatchewan,Good/Very Good,Yes,Yes,Married,Owns a residence
NA,English only,15-24,"Less than $25,000",Female,Nova Scotia,NA,Yes,Yes,Never Married,Owns a residence
NA,English only,25-34,"$25,000 to $49,999",Female,British Columbia,Poor/Fair,Yes,Yes,Married,No residence
NA,Both English and French,45-54,"$25,000 to $49,999",Male,Quebec,NA,Yes,Yes,Living with a partner,Owns a residence
Postgrad,English only,35-44,"Less than $25,000",Female,British Columbia,Good/Very Good,Yes,No,Married,Owns a residence
High School,English only,45-54,"Less than $25,000",Male,Ontario,Good/Very Good,Yes,Yes,Married,Owns a residence
College/Trade,Both English and French,NA,"$75,000 to $99,999",Male,New Brunswick,NA,Yes,Yes,Married,Owns a residence
No degree/diploma,English only,15-24,"Less than $25,000",Female,Ontario,Excellent,Yes,Yes,Never Married,Owns a residence
NA,English only,35-44,"Less than $25,000",Female,Ontario,NA,Yes,Yes,Married,Owns a residence
No degree/diploma,French only,75-84,"Less than $25,000",Female,Quebec,Good/Very Good,Yes,Yes,Widowed,Owns a residence
Postgrad,Both English and French,35-44,"$100,000 to $ 124,999",Female,New Brunswick,Excellent,Yes,Yes,Married,Owns a residence
NA,Both English and French,35-44,"$50,000 to $74,999",Female,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence
No degree/diploma,English only,55-64,"Less than $25,000",Male,Nova Scotia,Poor/Fair,Yes,Yes,Married,Owns a residence
College/Trade,Both English and French,45-54,"$100,000 to $ 124,999",Male,Quebec,NA,Yes,Yes,Married,Owns a residence
College/Trade,Both English and French,25-34,"Less than $25,000",Female,Quebec,Good/Very Good,Yes,Yes,Never Married,No residence
High School,English only,65-74,"$50,000 to $74,999",Male,Prince Edward Island,NA,Yes,Yes,Married,Owns a residence
College/Trade,English only,55-64,"$25,000 to $49,999",Female,British Columbia,NA,Yes,No,Married,Owns a residence
High School,English only,65-74,"$50,000 to $74,999",Male,Ontario,NA,Yes,No,Married,Owns a residence
Postgrad,Both English and French,35-44,"$75,000 to $99,999",Female,Quebec,Good/Very Good,Yes,Yes,Married,Owns a residence
No degree/diploma,English only,55-64,"Less than $25,000",Female,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Never Married,Owns a residence
NA,Both English and French,25-34,"$25,000 to $49,999",Male,Nova Scotia,Excellent,Yes,Yes,Never Married,Owns a residence
No degree/diploma,English only,75-84,"$25,000 to $49,999",Male,Alberta,Good/Very Good,Yes,No,Married,Owns a residence
NA,Both English and French,45-54,"$100,000 to $ 124,999",Male,Quebec,NA,Yes,Yes,Married,Owns a residence
College/Trade,English only,15-24,"$25,000 to $49,999",Female,Ontario,NA,Yes,Yes,Never Married,No residence
High School,English only,25-34,"$25,000 to $49,999",Female,Ontario,NA,Yes,Yes,Never Married,No residence
High School,English only,25-34,"Less than $25,000",Male,Nova Scotia,Good/Very Good,Yes,Yes,Never Married,Owns a residence
High School,English only,25-34,"$75,000 to $99,999",Female,Alberta,Good/Very Good,Yes,Yes,Living with a partner,Owns a residence
NA,English only,25-34,"$75,000 to $99,999",Male,Saskatchewan,Good/Very Good,Yes,Yes,Never Married,Owns a residence
High School,English only,55-64,"$75,000 to $99,999",Female,Ontario,Poor/Fair,Yes,Yes,Separated,Owns a residence
No degree/diploma,English only,NA,"$25,000 to $49,999",Female,Prince Edward Island,Good/Very Good,Yes,Yes,Married,Owns a residence
College/Trade,English only,NA,"Less than $25,000",Male,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Never Married,No residence
No degree/diploma,English only,NA,"Less than $25,000",Female,Ontario,Poor/Fair,Yes,Yes,Married,No residence
No degree/diploma,English only,75-84,"Less than $25,000",Male,Nova Scotia,NA,Yes,Yes,Never Married,Owns a residence
High School,Both English and French,65-74,"$25,000 to $49,999",Male,Quebec,Good/Very Good,Yes,Yes,Living with a partner,No residence
No degree/diploma,French only,75-84,"Less than $25,000",Female,Quebec,Poor/Fair,Yes,No,Never Married,No residence
NA,English only,65-74,"$25,000 to $49,999",Female,Ontario,NA,Yes,Yes,Married,Owns a residence
NA,English only,35-44,"$50,000 to $74,999",Male,Nova Scotia,Excellent,Yes,Yes,Married,Owns a residence
NA,English only,45-54,"$25,000 to $49,999",Female,Saskatchewan,NA,Yes,Yes,Married,Owns a residence
College/Trade,English only,35-44,"$100,000 to $ 124,999",Female,Ontario,Excellent,Yes,Yes,Never Married,Owns a residence
NA,Both English and French,15-24,"Less than $25,000",Female,Quebec,Good/Very Good,No,No,Never Married,No residence
College/Trade,English only,35-44,"$50,000 to $74,999",Male,Ontario,Excellent,Yes,Yes,Separated,Owns a residence
High School,English only,65-74,"$25,000 to $49,999",Male,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,Owns a residence
College/Trade,English only,NA,"Less than $25,000",Female,Alberta,Good/Very Good,Yes,Yes,Married,Owns a residence
College/Trade,French only,75-84,"Less than $25,000",Female,Quebec,Excellent,Yes,Yes,Widowed,No residence
No degree/diploma,English only,65-74,"$25,000 to $49,999",Male,Alberta,Good/Very Good,Yes,Yes,Married,Owns a residence
NA,English only,65-74,"$100,000 to $ 124,999",Female,Ontario,Excellent,No,No,Widowed,Owns a residence
No degree/diploma,French only,75-84,"$25,000 to $49,999",Female,Quebec,NA,Yes,Yes,Widowed,No residence
No degree/diploma,English only,65-74,"Less than $25,000",Female,British Columbia,Poor/Fair,Yes,Yes,Widowed,No residence
NA,English only,25-34,"$50,000 to $74,999",Female,Alberta,Excellent,Yes,Yes,Married,Owns a residence
NA,English only,55-64,"$50,000 to $74,999",Female,British Columbia,Excellent,Yes,Yes,Married,Owns a residence
NA,English only,35-44,"$25,000 to $49,999",Female,Ontario,Poor/Fair,Yes,Yes,Separated,No residence
No degree/diploma,English only,75-84,"Less than $25,000",Female,Manitoba,Excellent,No,No,Widowed,No residence
No degree/diploma,French only,75-84,"Less than $25,000",Male,Quebec,Poor/Fair,Yes,Yes,Never Married,Owns a residence
College/Trade,Both English and French,25-34,"$25,000 to $49,999",Female,Ontario,Good/Very Good,Yes,Yes,Living with a partner,No residence
College/Trade,English only,75-84,"$50,000 to $74,999",Male,Ontario,Good/Very Good,Yes,Yes,Married,Owns a residence
Postgrad,English only,45-54,"$50,000 to $74,999",Male,Ontario,Good/Very Good,Yes,No,Married,Owns a residence
College/Trade,English only,45-54,"$50,000 to $74,999",Male,Alberta,NA,Yes,Yes,Married,Owns a residence
College/Trade,English only,NA,"Less than $25,000",Female,Alberta,Good/Very Good,Yes,Yes,Married,Owns a residence
NA,English only,35-44,"$25,000 to $49,999",Female,British Columbia,Excellent,Yes,Yes,Married,Owns a residence
